Review Number,Review Text,Store
16,"Always overcrowded.  Some shelves are empty. Find something for free from Lidl plus app is rather a miracle.
But generally, great products and competitive prices. I've visited different Lidl branches ,including one from my previous area at the Dundrum. Talbot Street is the most hopeless and needs a new management.",Lidl
17,Awful shop. Terrible manager.,Lidl
18,"What a mess this place is, I think there is 8 self check outs & today 1 was not working & 4 had red light where there was faults on them. Meanwhile people queuing waiting on staff to clear the faults. The tills are so bad they need a member of staff at the tills all day. Jesus update your system you can well afford it. What a mess Lidl.",Lidl
19,"One of the most hardworking crews, because they are putting up with customer complaints and working for a probably useless management.

They only keep one cashier and 2 self check outs open leading to a queue of about 50 or more customers. In this scenario I have to wait half an hour before I can pay for a single commodity and be on my way.

Very bad service on these lines. Everyday scenario.",Lidl
20,"They deserve one star just because there’s a self service checkout which makes queues to move faster than in other Lidl branches, otherwise there’s nothing good to comment about. Customer service is appalling, store assistants extremely rude, texting on their phones while serving the customers and chatting among themselves, stock is always missing on the shelves, few times found expired products on the shelves. When asking for help anyone on the floor, they don’t show much interest in helping you out. Store managers should be seriously concerned about who they’re hiring for a job, simple manners in dealing with the customers would be a good start.",Lidl
21,"The queue management is the absolute worst I have seen in any supermarket ever. They are always short on staff, they have 3 or 4 checkout counters with staff but only one is open during rush hour. The self checkout stations are super slow and there are always 2 or 3 that are out of service. Who ever thought of this system should be fired.",Lidl
22,"Super busy Lidl, always long queue at self and chasier checkouts. Products are mostly finished fast. It’s super convenient that it’s city center but brings crowds",Lidl
23,Deceptive Mispricing on the shelves. Always worth double checking at the till. The lady sorted it out of but that's not the point. Most people are too busy to query. Don't get me started on Lidl plus😀 …,Lidl
24,"I love Lidl if you want cheap groceries with the best products,  Lidl would be the best the one supermarket where you can buy food ,drinks and they even sell household product ,clothing anything you need ,For me Its the only shop in ireland where I dont have to worry about for example is this going to taste good when I eat it or having fear of getting food poisoning,  and last thing I want to say is that the employees in Lidl Talbot Street  aren't really friendly but I dont blame cause the shop is always full of people and its always busy  but I want to wish all the lidl employees to stay strong you guys are doing a great job",Lidl
25,"Horrible experience. More than 30 min to be able to pay since the queue started. Self-service checkouts are horrible, you have to call the Lidl worker for absolutely everything, there is only one poor worker who can't handle everything. To buy a bottle of wine, 5 min to come, to apply 30% to a discounted product, 5 min to come. To apply a coupon, 5 min. More than 15 minutes waiting for the worker who was running to come because she couldn't do more. And then they give you discounts in the store that do NOT apply to you at the checkout. Two things have been charged much more expensive than what was stated in the store but I was already embarrassed to have to call the worker again and I was not willing to spend even 1 more minute there. I had to pay more to be able to leave. I WILL NOT COME BACK. You have a Tesco in front and an Aldi 10 min walk.",Lidl
26,Not bad for a Lidl in City centre. This branch is clean and the queues are fast. Like always the only problem is the lack of customer assistance around the place.,Lidl
27,"too many rude and useless staff, i guess i have to pay them so they move out if my way. Asking them nicely doesn't work, not that i found any of them speaking English.",Lidl
28,"Fresh baked breads are good, there are few items which are available at very affordable prices. I like roasted bell peppers and butter crossoint a lot",Lidl
29,"Always busy,Always waiting in line😑 …",Lidl
30,Huge queues at 6pm weekdays,Lidl
31,"The queues are too long and move way too slow. Shopping at lidl in general is a stressful ordeal. Stores are too small, long queues, run over by cages, staff in the way. Give the extra €5 in total & go to tesco. Less irritating.",Lidl
32,"Talbot Street, clean shop , pleasant staff, good offers, interesting items for sale both food and non food items.  Christmas items are starting to creep into stocks, for anyone trying to stock ahead",Lidl
33,You had some products stolen today at 17:20 approximately,Lidl
34,All self-checkout tills are only available for card payments and only one till is open for cash payments which makes crazy queues. Please make some self-checkout tills available for cash payments!,Lidl
35,"very full and with little supervision, there was a guy taking all the bread with the extra ones and putting them back in their place.",Lidl
36,"Good Shop, well organised, fortunately there is self checkout which makes it pretty faster. Little bit of more space would be great.",Lidl
37,"Nice new shop in city centre, you can find everything for good price. Self service check out are cool, just need time for people to learn how to use it",Lidl
38,"Great staff and super savings on shopping DIY , gardening and lots more",Lidl
39,"Girl at the self service was soo rude, all I’ve asked was can I please have a bag , if she could have she would have slap me on my face with it !!! I get it it’s busy but how is it any of this my fault 🤦🏻‍♀️ …",Lidl
40,The worst market I've ever entered in Ireland. Opening the doors to provide a bad service is better to stay closed. I will never enter this market again and I don't recommend it to anyone.,Lidl
41,Worst quality check in Lidl,Lidl
42,Horrible like all Lidls around city centre. Counters are dirty and that's the place where you have to put your items after you scan them.,Lidl
43,Very covid aware. Nice bright and big place. You can get all your groceries in one place. Plenty of bus stops outside.,Lidl
44,"Every time I'm here, baskets are super gross. Today also frozen food waiting long time outside of the freezer.",Lidl
45,"Lidl is the best shop here for me. They have good kinds of fruits, foods, many different kinds of coffees and teas and the most important is they have a good price.",Lidl
46,Aisles were poorly displayed hard to find things.needs some more oganising. Products left on trollies in narrow aisles that sort of thing sorry but that was my experience.,Lidl
47,Here are the handbags. I love you for it!!!,Lidl
48,"Cashier very helpful in how a technophobe! 😀 Deals with the +App.
Great Value on energy drinks too …",Lidl
49,It's a great store! Shopping after 6 will lead you to empty shelves.,Lidl
50,Try to avoid this branch because it's always overcrowded and not enough staff for this volume of people,Lidl
51,👍 very nice store where you can find everything for less price and good quality …,Lidl
52,Great new shop in Talbot street. You get all what you need at this lidl. Including brownies in small bites which are my favourite ones,Lidl
53,"Often not clean
A lot of dodgy people from the hood
Not necessarily fault of Lidl or their staff",Lidl
54,"Terrible service. I usually should wait in queue of 30 people. Very bad assortment, I even didn't find the fanta and chips Lays!!",Lidl
55,Good city centre Lidl. Seem to have some produce not available in other stores. Don't like the self check outs.,Lidl
56,I'd like this food-shop. Prefer this place because love good service and smile personal,Lidl
57,Brand new store. Staff are nice. Great location. Superb prices!,Lidl
58,Very large shop has everything you could need from fresh pastries to Spirits all at a very reasonable price well found shop.,Lidl
59,This is a small Lidl. Doesn't always have what u need. Fruit and veg is always very little,Lidl
60,"As good as it gets in Dublin I suppose, relatively expensive compared to the UK but it is the same quality produce.",Lidl
61,"Great place just dodgy area, machines for self checkout waste time",Lidl
62,"no one respects the queue, many people steal",Lidl
63,"Prices are awesome, just not many supplies to the same item.",Lidl
64,Floor security and the girl on self service saying they would love to punch customers around vile carry on asked the security how to get past the metal gate to get to the til and no even answered rude and unprofessional,Lidl
65,Love all deals and prices . Good options for vegetarians too.,Lidl
66,As with other Lidl stores - fully functional and we'll equipped stores with most competitive prices.,Lidl
67,Nice spanking new Lidl and the location is perfect. Well stocked and staff is nice too.,Lidl
68,Great place to buy daily needs,Lidl
69,Great selection and friendly staff could do with more check outs though,Lidl
70,Nice Lidl just I think understaffed and very slowl to get to tills even self check ones.,Lidl
71,Much better than Tesco+ Variety of different items+ Big interior space,Lidl
72,"Perfect for shop. Food, water,nearly of city Centre.",Lidl
73,Weird huge queue for paying by cash,Lidl
74,Very poor management of the place. It's not normal for a supermarket to have +20 minutes queues.,Lidl
75,Not the best organised but have most things you need,Lidl
76,Love Lidl but need more than 1 manned till in Talbot St.,Lidl
77,I wish there was more vegan product on shelves including vegan ice cream.,Lidl
78,Easy to get what i want fast and friendly staff,Lidl
79,Excellent.  Great staff...value for money 10/10.,Lidl
80,Very good to have a Lidl in Talbot Street it's a lovely new shop,Lidl
81,"Good prices, easy location to find.",Lidl
82,Got everything I needed. The queue to check out is long.,Lidl
83,Reasonable prices makes me feel good here.,Lidl
84,Decent Prices,Lidl
85,Excellent condition everything I need in one store  and cheers 🍻 …,Lidl
86,Tuna!,Lidl
87,Lot people in store maybe need more staff,Lidl
88,"Ok Lidl, they never have the €1 pizza though",Lidl
89,There's always room for improvement. But it's good,Lidl
90,Best place to buy things,Lidl
91,Very busy,Lidl
92,"Opening Thursday 16.
Will be great shop!",Lidl
93,"Comfortable, cashier often crowded tho",Lidl
94,I buy in this place and it have the best price on Dublin.,Lidl
95,Busy place and the service is very good...,Lidl
96,"New store in the city, things run out of stock too quickly unfortunately",Lidl
97,The best supermarket at the city centre,Lidl
98,Worst Lidl ever Staff extremaly rude,Lidl
99,Very convenient shop,Lidl
100,Crouwd,Lidl
101,Is it normal everyday?,Lidl
102,Horrible staff. Apparently laughing in the face of customers is tolerated.,Lidl
103,An excellent shop on the right place 👌 👏 👍 …,Lidl
104,I love it!!! Wide variety of items,Lidl
105,Well spaced out and very spacious,Lidl
106,Best market. Unbeatable prices.,Lidl
107,Has all groceries that you need nd more,Lidl
108,"Nice, freshly opened store",Lidl
109,Good size Lidl. Helpful staff,Lidl
110,Good products at a good price,Lidl
111,Very nice place,Lidl
112,Tune!!!!,Lidl
113,Good nice people in it,Lidl
114,Big but very busy,Lidl
115,Very good for groceries…,Lidl
116,👍 …,Lidl
117,Nice and compact! :),Lidl
118,Too busy place to shop,Lidl
119,Got what I needed easily,Lidl
120,Nice new store,Lidl
121,🤩 …,Lidl
122,Great,Lidl
123,Grand for dog treats,Lidl
124,Large and well-supplied.,Lidl
125,I like,Lidl
126,dis new,Lidl
127,Great value.,Lidl
128,Good,Lidl
129,Great service,Lidl
130,Expensive,Lidl
131,Lidle was okay,Lidl
132,Good store,Lidl
133,Excellent,Lidl
134,Grand spot,Lidl
135,Cheap,Lidl
136,Superb store,Lidl
137,Good,Lidl
138,Super Lidl well located not too far from the city center. Good prices and wide choice of products as in all Lidl. Very quick checkout given the number of boxes,Lidl
139,A rather large Lidl for a city center. Not very modern but we find the qualities of Lidl: lots of choice and low prices. The only complaint is that there are a lot of problems at the self-checkouts. The queues at the checkouts are therefore long.,Lidl
140,"This Lidl, despite being very busy, I think they restock more and have more options",Lidl
141,"Lidl is one of the best markets in Dublin to do your shopping, it always has several promotions and good prices, one of the only places we can buy frozen chicken breast fillet, the market's bakery is great, it has different types of bread, donuts , croissants and other sweets, has a wide variety of products, the only problem is that there is usually a long queue when paying for purchases.",Lidl
142,I was very happy to have a familiar supermarket around the corner. Friendly staff and lots of varied offers. I just thought it was a shame for the cashiers that they had to stand at the checkouts!,Lidl
143,So cool to have a Lidl near our youth hostel. Very cool for economical travel 😉😊 …,Lidl
144,"Terrible service, employees raise their voices and when you ask for help they tell you to go and look or you are stupid! Worst store, I don’t recommend it to anyone!",Lidl
145,Great for shopping for those who want to save a little,Lidl
146,"There are many products
The staff is friendly",Lidl
147,great prices and well stocked,Lidl
148,Good prices and variety of products,Lidl
149,"I like shopping at Lidl, for good customer service",Lidl
150,It's Lidl but open until 10 p.m. some evenings,Lidl
151,Worst service I've ever had in my life. Horrible and dirty,Lidl
152,Very good shop,Lidl
153,Well-stocked store.,Lidl
154,Good and cheap,Lidl
155,Excellent products,Lidl
156,There is almost nothing for the evening,Lidl
1,"I applied for a job here, the interviewers wasn’t good, they ask me two questions at once and had to ask them to repeat one them. It completely took me out my form  , pawel said something about being late, I wasn’t late. There was 2 people ahead me I presume the same time and yes they weren’t Irish.   Shane was nice, the other pawel , I didn’t like,  definitely racism going on here and felt discriminated. I walked in and it’s all foreigners working there. Not one Irish person in sight. Pure disgrace and sick to my stomach about the racism going on in my own country born and rised here and can’t get a job because a foreign wants his own people to work here. Discrimination",Lidl
2,Watch out for products on special offers... Very often prices at checkout are different then on the shelf. Last time they tried to charge me 17.99 for working trousers but they suppose to be on sale for 10.99...,Lidl
3,"On the plus, modern and quick self-check out. Downside many times fresh items poorly stocked. If I've a large shop I go to Aldi across the road they're better stocked, this shop is fine if I need a small quick shop.",Lidl
4,"Always missing itens! One week you have beef but no chicken. When have chicken, no rice or pasta, or any other item... there is always empty shelves. But sometimes have good prices. I really cannot understand the good grade here in Google.",Lidl
5,"Lidl plus is close to being a scam.

Display discounted price, tiny Lidl plus sign on the product label, then you have to activate the offer on the app to get the discounted price

Why the offer activation nonsense?",Lidl
6,Experienced an ignorant and rude staff member today at the self checkout. Really disappointed. Manager Slywia stood around and allowed it happens and wasn't interested in listening to my points. Is this how you guys operate now?,Lidl
7,Queue was maddness and staff were extremely slow coping. Poorly run should have standby resources available for busy times,Lidl
8,They must be training alot of the staff to be unfriendly/rude/unhelpful they always seem like you're burden for asking them something,Lidl
9,"Rude, uncivilized and unprofessional staff.
17 May 2024 , 4.30pm",Lidl
10,"Been shopping here since day 1 it opened.

I've never taken a receipt once.

I was in there Friday paid for my shopping with cash.

My wife is away so I sent my son in to change the chicken that was out of date 6 days I just bought the day before.

He told my son he needs a receipt. Which I understand

I've now got 4 kids in the car outside.
2 with special needs.

The staff see me in there at least 3 times a week.

I can't Change you need receipt or the card you paid with.
I paid with cash that day.

I spent at least 250 euros a week in this shop.

I won't be going back again.

Absolute dummies
Hire more people that have the ability to remember a face.

Big fuss about 8 euro.

Not sorry we sold you gone of chicken by a week.

Don't ask people do they want a receipt
Just give it to them regardl",Lidl
11,"When I come to shop here. Got everything I need. One asian lady Thai was very friendly, NICE.  all staff helpful, good experience.",Lidl
12,"Really rude staff. I went to self-scan because there was only one till open, despite the shop being busy.

One of my items weighed wrongly, and the staff member came over in a huff, picked the item up, increased the price and threw it back down. All without a word.

I'm guessing that I scanned the wrong bread or something, but it was really rude behaviour, a normal person would have just pointed out it was wrong.

Then usually, the tills are not open, and often staff partially block up asiles when they're restocking (like they will block it up, and some person with a trolley will park beside them and then you can't get by. Generally, staff are not helpful",Lidl
13,"Not a professionally managed shop. Used this Lidl for a long time and there is always something wrong there. Just been there today and surprised yet again 🥴 ...
Have a look at the attached pictures .",Lidl
14,"The opening hours are not updated, on Sundays, it doesn't open at eight, it opens at nine",Lidl
15,"Very rude staff name Nasara.  She is not there to help customer, she is creating difficulties.  Walked in with good mood , when she shouted at me, I knew she was not there to help, and my whole day was ruined!!  She is a Lidl staff, she represents Lidl !!    As a loyalty customer, I had an extremely bad shopping experience in East wall Lidl !!!! Very disappointed !!!!",Lidl
16,Nice Lidl. Has most necessities and a great sortiment of organic products. Pricing is perfect as well. Staff (self-checkout supervisor) somehow could be friendlier.,Lidl
17,"we bought a cheese for confusion and when we checked the ticket (inside the store and next to the cashier) it was more expensive than what we wanted, so we tries to change it and they said no because it was outside the fridge and someone can get sick. As i said, we were next to the cashier and we checked in the moment so it was outside the fridge for 4 minutes maximum so i would never go again to a Lidl",Lidl
18,"Big shop, you find everything and you buy even you don't have a plan to buy",Lidl
19,"My first stop destination for daily grocery shopping.
The place is usually occupied with people.
There are offers keeps on coming every week.
Also you get few products free using scratch card in the Lidl Plus app.
I personally find Lidl better than Tesco and Aldi in terms of both looks and product availability.",Lidl
20,"You can find main products at good prices at Lidl : vegetables, fruits, yoghurts, cheese, meat and fishes, bread and cakes, coffee ant tea,  grocery, drugstore...",Lidl
21,Car Park is like a rubbish skip. Entrance & lobbies is no better. Either they have had a load of trolleys taken or their just not bothered to have a staff member collected them. If your lucky you will manage to fill half your shopping list as there are a lot of regular items missing or out of stock. Finally would it hurt to open an extra couple of check outs when the que is half way down the store.,Lidl
22,Best variety of goods I have ever seen in Lidl.,Lidl
23,"Worst place to shop this day.

The staff never restocked the vegetables. All empty any day of the week.They prefer to put it out on sale when is almost rotten.

The prices have been duplicated from before but the salaries for their employees is still the same.

I am shopping elsewhere these days. Even tesco has better value prices.

Such of shame. Hope they shut down.

There should be a law to make the restock the vegetables.

When you go to any lidl all is finished since the morning. Specially this one. that way you buy some othe products They want to sell.

Exp basmati rice.",Lidl
24,Terrible experience today in your shop ...no kindness displayed by any of the staff .only one till open ..no body around to help customers in self service .area going down hill rapid.,Lidl
25,Oleg and Valmir are such generous people they dropped my wallet that i lost in the shop back to my house and returned all the cash inside. 5 star for employees that work here such nice and great people,Lidl
26,Great selection. Great opening hours. Friendly staff. Great prices. Convenient location.,Lidl
27,"Excellent value. Look for specials - it may be your lucky day. Fresh produce - fruit and vegetables. Lovely items from their in-house bakery. Save when you are ready to do a major shopping expedition. However, don't expect to find everything on your list. Couldn't find strong or bread flour.",Lidl
28,"Well stocked shelves and clean and tidy,sadly no check outs open 😺 nly self  check outs open .these are terrible as they are managements way of reducing staff,also can be very difficult for many walks of life to use such as oap's , especially if they have items that don't have barcodes such as having to weigh items or bakery items no staff present to ask to open a check out so had to use self check out.so to sustain jobs ,if check outs are open please use them .",Lidl
29,Great store. Well stocked and also has self serve checkouts for those just buying a few things quickly. Nice to have the free EV charge point also!,Lidl
30,"Good quality products, the cheapest supermarket prices in Dublin along with Aldi. Shopping here can be half as expensive as shopping in your regular supermarket. You will notice no difference in terms of quality whatsoever. They also have an app that offers discounts on a weekly basis as well as free products as a reward every time you shop.",Lidl
31,"Yesterday I have bought lots of products for 40+euro. A cashier counted apples as kakies, today I went to the shop and told what happened. They agreed to refund but again, I was needed to explain them prices for apples. No apologies for their mistakes (I'm pretty sure it was a personal cashier dislike).
Now I don't want to go in this supermarket again, especially there is another shop just across the street to spend my money.",Lidl
32,"constant stock issues, some friendly staff some not, I don't know if what I'm about to say is the same of all Lidl's but they stock the same stuff no variety, same stuff all the time makes it worse when they don't have something in stock you know they have been stocking for years.",Lidl
33,Staff so helpful and courteous. Met 2 extremely helpful managers over the Christmas period who dealt with my problems most satisfactorily. Thank you Lidl East Wall,Lidl
34,"Horrible place. I was there last Saturday with my 11 years old daughter. We were served by one of the managers (can't remember his name but he is Croatian), because he was wearing blue shirt. While he was serving us he was constantly talking with another manager, which was on another checkout opposite him. He's every second ward was Fu...king, can't believe in front of the custumer with a child every second ward Fu...king. I will never again step into this horrible place. I know that Lidl's have very poor customer service, but the language he was using is shocking.",Lidl
35,"Good store grab nice soups,  cold coffees and to be honest the Sri Lankan chicken soup is the best soup I've tasted.my only complaint is they don't sell jalapeños for some reason . I would avoid the own brand piri piri sauce... its bad.",Lidl
36,"Shop is quite big. Vegetables, fruits, bakery items are so fresh and quality products. Nice place for day to day shopping. Staff is helpful. Decent amount of parking space.",Lidl
37,"Good, fast and cheap supermarket worth food of all kinds",Lidl
38,"My Personal Favourite Supermarket to shop in! Great Selection. Tasty, quality food for a more than fair price. Pleasant, helpful staff and a lovely calm vibe in the store👍😃 …",Lidl
39,"This one will probably get deleted as the previous couple of bad reviews if I'm not mistaken, but anyway: a rather unpleasant experience. Insolent manager, Marko for whatever reason it may be, you don't treat customers that way. As someone with a vast customer service experience, I was appalled by the amount of anger and bad energy directed at us today. Hope you find inner peace and harmony, but I am not going back to this Lidl and I would not recommend it at all.",Lidl
40,Good stuff and you have Aldi in front of if you are not happy enough,Lidl
41,"The Lidl itself is not in bad location My friend and I went to Lidl with the intention to buy a food and since the moment we went inside the staff kept looking at us which made us feel uncomfortable. We understand there are certain rules during the Covid-19 outbreak,  but that's not a reason to treat people as if they were thieves. Both of us left the place feeling bad. Both my friend and I have been working in customer service for over 5 years and we travelled half of Europe and never have we experienced this kind of service.",Lidl
42,"Like the store, not well stocked this evening but a big pity that there was no one available for check out duty. Just before closing so had to use self service - which I avoid when ever possible. Hate seeing self service as this is just a loss of local jobs, particular for young people.",Lidl
43,Whenever I've visited this Lidl it's been well stocked with products and the staff have been helpful and friendly. The range of products is vast and all sold at very reasonable prices. The special offers rotate and are always worth checking out to find bargains. The cashier staff work quickly and even when busy I've never queued more than 15 mins.  Ideal for the weekly groceries!,Lidl
44,"No staff to ask information from, all shelves empty! It’s was not a good experience! Went to Dunne’s all staff and stock were there, got €10 off my €50, it may have been a bit more expensive but with voucher no difference and a nice shopping experience!",Lidl
45,"I love shopping at Lidl, there's a good selection of different products and always fresh produce. I am a vegan and really appreciate their attention towards supplies for plant based products - snacks, super foods, dairy substitutes (I wish they had something for cheese as well!! ) I also end up buying supplies for my hobbies, like pastry and drawing and other home stuff. Really good price-quality ratio :)",Lidl
46,It's a brand new Lidl so great value groceries and the weekly specials of random items. In store bakery does some really nice breads and pastries. Can be busy and have a bit of a queue at the checkout but you can't argue with the prices.,Lidl
47,"Often visit this Lidl to pick up some bits. Today I noticed fresh baguettes had just come out of the oven, and cooling on the rack. I caught the eye of the baker, who was absolutely lovely and handed me a fresh, warm baguette which made my day.",Lidl
48,"Great store,

Great coffee machine:)

Lidl to go for €1 is amazing",Lidl
49,"Clamp for standing 1 hour and 32 minutes during major shopping, not recommended",Lidl
50,If the Asian lady was paid to destroy his smile well then LIDL owes me alot of money.,Lidl
51,I'll have to complain about potatoes. Silly thing but I got organic last week and not organic today and in both cases they all black inside. How old are those tatoes who supplies them and does management know what they selling to people I sure will ask nxt time. Other than that clean shop with very nice shop assistants.,Lidl
52,Nice place for shopping ;),Lidl
53,"Meh. It felt like it was a store that didn't care about its service to the community because it was so disheveled: it seems that's always Lidls presentation. This had the least amount of fresh food I've seen in a while (been shopping in Mallow, which has a much better store).  It was all down the one side of the store and the rest of the food was mostly frozen and processed. Plenty of parking, felt marginally safe: not well lit parking area. Next to McDonalds and Starbucks and across from Aldi. Not that familiar with Dublin.",Lidl
54,"Best Lidl that I've visited in Ireland. Bakery is great. And because Aldi was across the road, it made them make their store better also because it was awful before Lidl came. Staff are great. Self check available also so never queuing for long",Lidl
55,Always good value but would prefer loyalty scheme or points per euro spent rather than discounts on products i don't always buy.,Lidl
56,"Well stocked, large Lidl. Lots of parking to the rear (two EV chargers) and bike parking to the front.  The most useful feature is the Aldi directly across the road in case you need anything there.",Lidl
57,"Love this Lidl! Its big, easy to get around and has loads of amazing products! But i am still missing more vegan options! Vegan soy jogurt, vegan spreads or cheeses, pizzas etc would be a great addition finally!",Lidl
58,"Good range of products in various sections, Great value on all the items!",Lidl
59,I had the most ignorant cashier ever. Very rude and she didn’t know how to process a refund. She refuse to give me my ticket back and made things complicated. I just wanted my money and to leave that horrible place. I love Lidl but it’s the last time I go to this branch.,Lidl
60,"Good food, great staff, even better prices. Also parking, Starbucks and McDonald's all right beside it. Great shop",Lidl
61,Great value for the weekly shop and the parking is easier to negotiate than ALDI. frustrating that some shoppers abandon their cars near the entrance to the shopping centre however with relative impunity. Fruit and Veg is always pretty fresh. Baskets for going around always in short supply. the Bakery is another advantage it has over ALDI,Lidl
62,Great shop. As always good value to be found. The staff member on the till was extremely pleasant and courteous.,Lidl
63,"Their check out system is crazy. It's the slowest lidl I was ever in, any where in Europe.
They allow customers to pack bags trolleys while the teller waits to get paid  and we wait in line.
When it should be, repack trolleys and baskets after cashier,  then sort them out at the desk provided. It's happening ever since it opened .",Lidl
64,"Would have been better if shop assistants are around customers to easily locate some items. Otherwise, great!",Lidl
65,"Great prices,fresh food and good service. Always a bargain. 5 stars.Tremendous",Lidl
66,It's always my easy way out to get all the stuffs for the rest of the week and that too way cheaper. After shopping here I'd been saving atleast 60 euros every month on groceries,Lidl
67,"I did purchase salads, which aren't out of date yet and been already rotten.
Thats happend not only once but 3 times.
Whole Lidel company is experiencing some problem with freshness of veg.
I won't buy there again.",Lidl
68,"Reviewing Lidl. Ok I was sent to get school shirts for the child by herself. I arrived a day late and all the polo shirts in the boys soze were sold out. If you want one of the special buys go early. If you have never been in Lidl. Then one is pretty much like any other. Cheap, good, groceries and a queue at the till",Lidl
69,"Standard Lidl, somewhat limited range of products at low prices but always excellent quality and amazingly fast checkout; if you have seen one you have seen them all.   Good parking at this site, shared with a fast food franchise.",Lidl
70,"Its just another hypermart for you regular grocery shopping but prices are comparatively lower compared to other competitors in Ireland, making it my first choice. Lidl usually has big stores where you get most of the household stuff. They have both self-checkout and tills. The one on EastWall has good management and I am a regular visitor.",Lidl
71,Lidl is a great place to for everday shopping. Weekends are usually busiest with longer lines outside the store. Early morning shopping at 8am is highly recommend to avoid weekend ques,Lidl
72,Staff always helpful... prices are good value on most items. Ques generally go quickly most of time.,Lidl
73,"This is a larger-scale Lidl supermarket with a wider variety and greater quantity of items, and self-checkout is available.",Lidl
74,"The staff made a mistake of charging me twice and when I pointed it out, instead of apologizing she was showing attitude and wasn't apologetic at all. Her name was Nusara. Not a very pleasant experience.",Lidl
75,Huge supermarket! It has everything I need. Deluxe items and International products available. No queues and kind staff. Clean and organised. Cheap and good quality food! I do recommend!,Lidl
76,its a typical Lidl. its hand as there is another shop across the Road. Plenty of parking but many people park all over the place. It also has a self service till. Good range of food.,Lidl
